Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2006-05-16;2,3;10,6;0;30;26,4;23,2;88;85;3,4;
2006-05-17;2,2;8,8;9,7;29,7;26,1;23,4;88;79;2,4;
2006-05-18;2,4;6,5;0;29,2;25,6;23,4;89;89;2,5;
2006-05-19;2,7;8,6;0;29,1;25,6;22,2;87;73;3,9;
2006-05-20;2,8;10,5;0;30,3;25,2;22;90;77;3,4;
2006-05-21;2,2;9,4;0;30,7;26,1;23,4;90;82;3;
2006-05-22;2,4;10;0;29,5;26,2;23,4;83;72;3,9;
2006-05-23;3,3;8,9;0;30,6;25,9;22,5;null;80;3,3;
2006-05-24;2,3;6;16,2;29,5;25,7;23,7;92;85;2,4;
2006-05-25;1,9;9,8;4,1;30,9;25,6;21,9;88;82;2,5;
2006-05-26;2,3;10,8;1,7;30,1;26;23,2;90;86;3,1;
2006-05-27;2,7;9,2;0;30;25,9;22,9;80;80;2,9;
2006-05-28;2,4;9,3;,4;31,1;25,9;23;91;85;2,9;
2006-05-29;2,5;9,2;1,2;29,7;25,6;22,4;88;87;3,5;
2006-05-30;2,7;8,5;0;29,4;26,2;22,4;81;78;4,3;
2006-05-31;3,7;8,9;0;29,6;25,7;21,5;82;74;3,6;
2006-06-01;4;10,5;0;29,6;25;20,8;78;77;3,4;
2006-06-02;3,6;8,9;0;29,5;25,5;22;82;70;3,8;
2006-06-03;3,8;10,1;0;30,3;25,6;21,6;76;74;4,4;
2006-06-04;4,3;6,6;0;29,6;26;21;77;74;4,3;
2006-06-05;4,8;1,9;0;28,4;24,5;22,6;92;76;3,5;
2006-06-06;2,1;9,5;13,9;30,3;25,8;22,1;83;79;3,3;
2006-06-07;2,7;10,4;0;30,4;26;22,8;85;83;2,1;
2006-06-08;2,8;5,6;0;29,3;25,1;22,7;88;79;3,4;
2006-06-09;2,7;10,7;,1;30,2;26;23,1;82;78;2,9;
2006-06-10;3,6;8,8;0;29,7;26,1;22,1;81;72;3;
2006-06-11;2,1;3,4;3,3;29,7;25,7;23;88;85;2,3;
2006-06-12;2,5;4,8;0;30,6;26,1;23,6;87;86;1,9;
2006-06-13;1,8;8,2;37,3;29,8;24,9;21,5;90;82;1,7;
2006-06-14;2,6;9,6;0;28,6;24,4;22,3;87;75;2,6;
2006-06-15;2,7;8,5;0;29,4;25,6;21,6;84;74;3,2;
2006-06-16;1,6;2,1;0;28,8;25,6;23,2;87;78;3,4;
2006-06-17;2;10,4;0;29,9;25,1;21,5;78;77;3,3;
2006-06-18;3,3;10,2;0;30,3;26,1;23,4;80;77;3,6;
2006-06-19;4,3;10,7;0;30,1;25,9;22,3;72;69;4,3;
2006-06-20;5,6;10,8;0;33,6;26,2;21,3;76;71;6,6;
2006-06-21;5,6;7,2;0;30,7;26,2;22,5;83;72;4,4;
2006-06-22;3,9;9,1;0;30,2;26,2;22,5;76;73;4,8;
2006-06-23;7;10,3;0;31,2;25,8;20,6;69;70;3,6;
2006-06-24;7,4;8,2;0;30,6;26,2;21,3;78;69;3,6;
2006-06-25;4,7;2,4;0;28,6;24,7;22,1;87;71;3,6;
2006-06-26;3,3;10,3;,4;31,7;26,3;22,4;78;69;3,1;
2006-06-27;4,9;7,1;0;31,4;26,2;23,6;87;75;3;
2006-06-28;4,1;7,5;,1;31,3;27;23,7;77;78;3,8;
2006-06-29;6,4;8,9;0;32,1;26,6;22,3;74;77;3,6;
2006-06-30;7,4;10,2;0;32,2;26,1;21;85;72;4,6;
2006-07-01;7,9;10,6;0;32,3;26,6;21,4;68;72;3,1;
2006-07-02;6,6;8,2;0;34,3;27,8;22,3;79;63;4,3;
2006-07-03;12;10,4;0;32,2;26,7;21,2;69;65;3,4;
2006-07-04;9,5;10,2;0;32,4;25,9;21,4;76;69;4,1;
2006-07-05;9,5;10,3;0;33;25,9;22,3;83;67;3,6;
2006-07-06;7,7;1,6;0;29,2;25,1;22,7;null;76;3,3;
2006-07-07;3,6;7,4;1,9;33;26,2;22,5;81;64;3,5;
2006-07-08;6;10,4;0;33,3;27,6;21,5;67;65;4,2;
2006-07-09;8,2;6;0;31,6;26,4;22;79;66;4,2;
2006-07-10;7,3;8,8;0;33,4;27,9;21,3;61;63;4,1;
2006-07-11;9,8;1,5;0;31,1;26,7;24,6;null;58;3,1;
2006-07-12;5,3;5,7;,2;32,8;27,8;24,2;68;71;5,4;
2006-07-13;12,1;10,7;0;32,4;26;20,4;63;66;4,4;
2006-07-14;12,3;10,7;0;32,2;25,4;19,6;72;57;4,4;
2006-07-15;8,9;5,7;0;31,3;26,3;21;69;56;3,4;
2006-07-16;6,6;9,9;0;33,7;26,5;21,7;79;60;3,5;
2006-07-17;6,9;9,6;1;33,3;27,2;23,2;78;69;3,6;
2006-07-18;8,2;7,9;0;31,4;26,9;23,3;70;65;4,3;
2006-07-19;7,1;10,8;0;33,3;25,7;21,2;76;63;4,8;
2006-07-20;7,8;10,8;0;33,6;26,7;21,6;76;59;5;
2006-07-21;9;10,7;0;34,6;28,3;22,3;57;65;3,4;
2006-07-22;9,3;10,9;0;33,4;26,7;22;72;53;3,6;
2006-07-23;13,2;7;0;33,3;25,5;22,2;85;64;3,3;
2006-07-24;7,1;9,3;1,2;33,4;26,3;21,4;75;61;3,3;
2006-07-25;10,6;9,7;0;34,5;27,1;22,1;80;71;3,3;
2006-07-26;11,7;9,8;0;34,5;27,6;23;75;60;4,2;
2006-07-27;10,7;8,4;0;33,5;28,2;24,1;63;60;4,2;
2006-07-28;11,9;10,9;0;34,8;26,7;21,6;82;64;3,5;
2006-07-29;10,8;10,9;0;34,5;27,1;22,2;80;67;2,1;
2006-07-30;12,6;10,4;0;34,6;26,7;21,2;81;70;3,5;
2006-07-31;11,3;10,1;0;35,1;27,6;21,3;77;67;3,6;
2006-08-01;12,1;10,8;0;34,8;27,3;22,6;75;53;4;
2006-08-02;12,2;10,7;0;33,6;26,6;22;78;57;4,3;
2006-08-03;8,7;9,7;0;33,4;26,2;21,5;69;57;3,8;
2006-08-04;9,4;10,8;0;33,9;27,5;22;67;54;3,6;
2006-08-05;10,1;11;0;34,6;27,2;22,1;66;62;4,4;
2006-08-06;10,8;10,9;0;34,3;27,8;21,9;51;57;4,6;
2006-08-07;11,3;7,2;0;32,4;26,1;21,6;71;46;4,3;
2006-08-08;10,3;10,4;0;33,9;null;20,7;null;59;6,1;
2006-08-09;9,1;6,3;4,5;34,6;26,9;22,7;82;65;3,6;
2006-08-10;3,1;10,3;0;33,8;27,7;22,6;74;68;4,1;
2006-08-11;10,8;11;0;33,8;26,8;21,4;76;61;4,3;
2006-08-12;10,2;4,5;0;31,6;26,9;22,5;76;65;5,5;
2006-08-13;9,8;7,9;,5;33,3;27,8;23,7;60;55;4,1;
2006-08-14;10,9;11,1;0;33,8;26,3;21,7;76;54;4,6;
2006-08-15;10,8;10,2;0;34,6;26,5;20,7;76;61;3,8;
2006-08-16;10,4;1,2;0;30;25;21,2;85;62;5,3;
2006-08-17;4,3;8,6;12,4;33,2;27,5;22,4;71;71;4,4;
2006-08-18;9,4;10,8;0;34,3;26,6;21,7;81;60;4;
2006-08-19;8;10,6;0;34,4;27,2;23;77;60;6,1;
2006-08-20;10,1;10,4;0;34,9;27,2;22,4;75;54;5,4;
2006-08-21;9,1;10,5;0;35,3;27,1;22,4;79;63;5,9;
2006-08-22;10,2;10,4;0;34,8;null;23,3;null;68;5,2;
2006-08-23;12,9;9,6;0;35,5;27,8;22,6;71;53;4,6;
2006-08-24;10,9;10,3;0;35;27,5;22,4;75;66;4,3;
2006-08-25;12;10,7;0;34,6;28;22,6;64;64;5,4;
2006-08-26;11;10,6;0;34,4;27,2;23,4;68;55;4,6;
2006-08-27;11,3;10,8;0;35,2;27;22;74;59;5,6;
2006-08-28;11,6;11;0;35;26,8;21;78;60;3,6;
2006-08-29;12,2;10,6;0;35,3;26,9;21,4;75;64;3,8;
2006-08-30;10,6;9,3;0;35;27;22,3;79;64;5;
2006-08-31;12,8;4,7;0;34;28;23,6;72;65;3,4;
2006-09-01;11,5;10,8;0;35,7;28,2;23,6;74;63;3,6;
2006-09-02;11,8;10,8;0;35,6;27,7;23,2;78;65;3,8;
2006-09-03;10,9;5,9;0;34,6;27,2;23,7;80;75;5,6;
2006-09-04;9,2;9,1;0;35,4;27,7;23,6;69;61;5,3;
2006-09-05;10,2;10,2;0;35,2;27,2;22;74;68;3,8;
2006-09-06;11,6;10,9;0;34,4;27,1;21,6;76;63;4,9;
2006-09-07;11,3;11;0;34,6;27,6;23,5;67;48;7,1;
2006-09-08;12,8;11,1;0;34,8;27,3;22,2;73;59;5,8;
2006-09-09;12,1;11;0;35,3;27,4;21,9;75;58;5,1;
2006-09-10;12,9;11;0;35,6;28,3;22,8;63;50;4,7;
2006-09-11;12,4;8,7;0;36,1;28,9;23,2;58;56;5,9;
2006-09-12;14,1;11;0;34,6;27,6;23,4;70;56;5,6;
2006-09-13;13,9;10,9;0;35,3;27,8;22,7;69;49;5,4;
2006-09-14;14,6;10,8;0;35,6;28;23,6;77;67;5,5;
2006-09-15;14,7;10,9;0;35,6;28,1;22,7;73;58;6,1;
2006-09-16;14;5,9;0;33,3;27,2;24;67;66;5,1;
2006-09-17;10,2;10,6;0;35,4;28,3;22,7;67;61;3,8;
2006-09-18;15,1;10,9;0;36,2;28,3;22,4;71;57;5,3;
2006-09-19;14;10,9;0;37,3;27,9;22,2;72;52;5,3;
2006-09-20;12,2;10,6;0;34,7;27,4;22,5;76;67;5,3;
2006-09-21;12,6;10,9;0;36,2;27,7;21,5;74;61;5,1;
2006-09-22;14,1;10,5;0;36,6;27,9;22,5;76;62;4,8;
2006-09-23;13,4;10,4;0;35,7;27,8;22,7;75;59;6,3;
2006-09-24;13,3;11;0;35,3;27,2;21,6;75;64;3,4;
2006-09-25;12,7;10,9;0;36,3;27,6;22,4;77;61;3,3;
2006-09-26;13,9;10,8;0;36,7;28,7;23;68;58;5,3;
2006-09-27;14,9;10,5;0;36,2;28,7;24,6;74;65;6,8;
2006-09-28;14,5;9,9;0;34,8;27,7;23,6;68;58;5,8;
2006-09-29;13,6;1,3;0;36,2;27,9;22,3;66;49;5,5;
2006-09-30;15,3;11;0;35,9;28;22,3;69;59;3,6;
2006-10-01;13,5;8,9;0;36,1;28,2;23,1;73,5;54;4,1;
2006-10-02;13,1;11,1;0;36,1;28,2;23;71;61;5;
2006-10-03;14,8;10,9;0;36,2;28,1;23,3;75;67;4,1;
2006-10-04;14,6;10,5;0;36,5;28,1;22,8;69;52;3,4;
2006-10-05;14,1;10,8;0;36,6;28,5;23,4;70;54;4,5;
2006-10-06;14,8;10,6;0;36,4;28,6;23,2;70;56;5,1;
2006-10-07;14,4;10,7;0;37,1;29,6;22,2;58;51;7,3;
2006-10-08;16,5;10,9;0;36,7;28,9;23,3;67;58;5,3;
2006-10-09;16,3;11,1;0;36,3;28,9;23,2;62;52;6,1;
2006-10-10;16,4;9,8;0;36,8;28,6;23,3;null;61;4,4;
2006-10-11;17;11,1;0;35,7;29,2;24;67;56;4,1;
2006-10-12;16;11,1;0;36,1;28,7;23,6;70;56;4,3;
2006-10-13;14,5;11,3;0;35,9;28;22,6;70;59;5,3;
2006-10-14;14,6;11,3;0;37;null;22,7;null;54;7,2;
2006-10-15;16,6;8,8;0;36,6;28,4;22,8;71;55;4,5;
2006-10-16;13,7;9,7;0;36,9;28,7;23,4;67;48;5,3;
2006-10-17;14;10,6;0;36,5;28,4;23,1;72;65;5,3;
2006-10-18;12,1;10;0;36,5;28,6;23,2;69;56;4,4;
2006-10-19;14,6;10,1;0;36;28,1;22,7;68;54;5,3;
2006-10-20;14,3;11,1;0;36,2;27,9;22,6;72;56;5,3;
2006-10-21;12,8;9,2;0;36,4;28,1;24,1;75;63;3,3;
2006-10-22;13,2;10,9;0;37,2;28,8;24;72;60;5,8;
2006-10-23;13,9;8,5;0;35,2;28,7;25,1;70;56;4,3;
2006-10-24;15,4;8;0;35,4;28,4;25;63;63;4;
2006-10-25;14,8;10,9;0;35,8;28;22,3;71;52;4,2;
2006-10-26;16,3;10,8;0;36,2;28;22,5;69;61;6,1;
2006-10-27;13,3;11;0;36,5;28,5;24;69;52;5,6;
2006-10-28;15,1;11,3;0;36,9;28,2;23;72;49;5,4;
2006-10-29;14,1;6,8;0;35,4;28;24,4;66;64;4,9;
2006-10-30;15,2;10,5;0;35,4;28,4;24,6;66;54;4,4;
2006-10-31;15,2;10,7;0;36,2;28,5;23,2;null;49;4,3;
2006-11-01;null;null;null;null;null;null;null;71;null;
2006-11-02;null;null;null;null;null;null;null;null;null;
2006-11-03;null;null;null;null;null;null;null;null;null;
2006-11-04;null;null;null;null;null;null;null;null;null;
2006-11-05;null;null;null;null;null;null;null;null;null;
2006-11-06;null;null;null;null;null;null;null;null;null;
2006-11-07;null;null;null;null;null;null;null;null;null;
2006-11-08;null;null;null;null;null;null;null;null;null;
2006-11-09;null;null;null;null;null;null;null;null;null;
2006-11-10;null;null;null;null;null;null;null;null;null;
2006-11-11;null;null;null;null;null;null;null;null;null;
2006-11-12;null;null;null;null;null;null;null;null;null;
2006-11-13;null;null;null;null;null;null;null;null;null;
2006-11-14;null;null;null;null;null;null;null;null;null;
2006-11-15;null;null;null;null;null;null;null;null;null;
2006-11-16;null;null;null;null;null;null;null;null;null;
2006-11-17;null;null;null;null;null;null;null;null;null;
2006-11-18;null;9,6;null;37;null;null;69;null;6,2;
2006-11-19;null;11,2;null;37;null;null;65;78;5,1;
2006-11-20;null;null;null;null;null;null;null;67;null;
2006-11-21;null;null;null;null;null;null;null;null;null;
2006-11-22;null;null;null;null;null;null;null;null;null;
2006-11-23;null;null;null;null;null;null;null;null;null;
2006-11-24;null;null;null;null;null;null;null;null;null;
2006-11-25;null;null;null;null;null;null;null;null;null;
2006-11-26;null;null;null;null;null;null;null;null;null;
2006-11-27;null;null;null;null;null;null;null;null;null;
2006-11-28;null;null;null;null;null;null;null;null;null;
2006-11-29;null;null;null;null;null;null;null;null;null;
2006-11-30;null;null;null;null;null;null;null;null;null;
2006-12-01;null;8,3;0;37,7;28;22,4;73;60;4,8;
2006-12-02;9,3;6,6;0;34,7;27,5;23,6;74;65;5,1;
2006-12-03;7;10,5;0;36,3;28,9;24;null;52;5,3;
2006-12-04;11,8;8,3;0;35,4;28,2;22,6;65;48;5,5;
2006-12-05;11;5,5;0;34,1;27,7;23,2;70;59;5,1;
2006-12-06;null;11,1;0;36,4;null;23,1;null;76;5,6;
2006-12-07;18,4;10,2;0;36,4;28,7;22,8;69;55;5,5;
2006-12-08;12,7;10,6;0;36,7;29,2;24,6;71;59;5,7;
2006-12-09;12,5;10,8;0;36,6;28,8;23,5;72;67;5,3;
2006-12-10;10,8;7,1;0;35,1;28,2;23,4;72;61;5,8;
2006-12-11;10,8;9,5;0;35,7;28,7;24,7;71;60;5,5;
2006-12-12;12,2;10,8;0;36,7;29;24,2;70;60;4,8;
2006-12-13;13,4;11;0;36,7;28,8;23,7;70;55;5,1;
2006-12-14;12,2;9,8;0;37,2;29,6;25,5;70;55;5,1;
2006-12-15;14,2;11;0;37,1;29,6;25,3;68;53;4,8;
2006-12-16;15,1;11,3;0;37,2;29,2;24,3;67;56;5,6;
2006-12-17;15,4;11,2;0;37,3;29,2;24,3;72;61;5,1;
2006-12-18;15,6;9,6;0;37;29,4;24,6;69;55;6,8;
2006-12-19;16,3;11,2;0;37;29,4;23,9;65;61;6;
2006-12-20;17;10,5;0;37,2;29,6;25;71;60;5,3;
2006-12-21;17,7;11,1;0;37,2;29,6;24,6;69;53;6,6;
2006-12-22;16,9;11,3;0;36,9;28,7;23,7;68;48;4,6;
2006-12-23;13,9;10;0;36,2;28,7;24,7;71;54;4,5;
2006-12-24;11,9;10,2;0;36,4;28,7;24,8;75;66;5;
2006-12-25;9,9;7,9;0;35,7;28,5;25,2;72;65;5,7;
2006-12-26;11,5;8,4;0;35,3;28,8;25,3;73;56;5,8;
2006-12-27;13;10,6;0;36,1;28,9;25,3;70;61;6,1;
2006-12-28;12,6;10,5;0;35,7;29;24,6;70;53;6,2;
2006-12-29;12,5;7,9;0;36,5;28,9;25,2;73;63;4,6;
2006-12-30;9,4;8,6;0;36,7;29,2;25,4;74;64;5,4;
2006-12-31;12,3;9,6;1,6;35,5;29,1;25,6;72;59;5,8;
2007-01-01;11,4;7,4;0;35,8;29;25,2;71;58;5,3;
2007-01-02;12,1;6,3;0;35,6;29,1;25,4;69;63;6,6;
2007-01-03;11,5;6,9;0;34,3;28,1;24,9;75;69;5,6;
2007-01-04;10,7;6,4;0;32,3;27,3;23,6;71;65;5,2;
2007-01-05;7,1;4,5;,6;33,2;28,5;23,6;74;54;5,1;
2007-01-06;10,9;10,9;0;36,3;28,6;23,4;73;63;5,5;
2007-01-07;10,1;10,4;0;36,8;29,6;26;69;56;5,3;
2007-01-08;14,5;8,1;0;36,8;29,5;25;67;55;5,3;
2007-01-09;10,2;6,2;0;35,5;29,1;24,6;68;52;5,6;
2007-01-10;8,7;5,3;0;35,6;28,5;24,3;76;73;5;
2007-01-11;9,1;5;0;34,6;28,7;24,6;72;58;5,3;
2007-01-12;12,5;7,5;0;35,7;28,8;25,2;71;59;5,8;
2007-01-13;11,2;10,8;0;35,8;28,4;23,6;69;60;5,1;
2007-01-14;13,4;7;0;35,6;29,1;23,8;66;60;6,4;
2007-01-15;14,3;9;0;37,2;29,8;24,8;66;61;6,5;
2007-01-16;15;10,6;0;37,6;29,8;25,3;65;58;5,8;
2007-01-17;17,3;8,9;0;35,4;29,1;25,3;89;51;5,8;
2007-01-18;12,4;10,4;2,3;37,2;29,6;23,4;62;51;3,3;
2007-01-19;6,7;11,3;0;37,3;29,3;24,3;68;58;5,3;
2007-01-20;13,6;9;0;37,2;29,5;24,5;71;62;6,1;
2007-01-21;13;11,2;0;37,4;29,4;23,8;65;54;5,1;
2007-01-22;14,7;11,6;0;37,6;28,7;22,5;70;56;4,6;
2007-01-23;12,1;9,3;0;36,3;28,5;22,8;71;62;5;
2007-01-24;11,8;7,6;0;36,8;29,1;24,6;72;59;7,3;
2007-01-25;11,7;10,9;0;32,3;28,3;23,7;86;60;6,1;
2007-01-26;12,4;11,3;0;37,5;29,6;24,6;71;59;6,1;
2007-01-27;12,9;11,1;0;37,3;29;23,7;66;59;4,3;
2007-01-28;12;11,5;0;38,3;29,6;24,2;65;50;6,1;
2007-01-29;12,4;10,8;0;37,3;29,4;24,3;70;60;5,6;
2007-01-30;10,9;10,6;0;37,4;29,7;25,6;74;61;5;
2007-01-31;13,9;7,5;0;37,3;30,1;26,1;67;54;4,1;
2007-02-01;11,1;3,8;0;35,6;29,5;26,1;67;56;5,9;
2007-02-02;10,4;7,4;0;36,3;27,9;22;83;55;5,3;
2007-02-03;8,1;9,2;12,2;35,9;28,5;22,9;84;68;5,6;
2007-02-04;9,3;1;0;33,3;28,3;25,7;77;73;4,3;
2007-02-05;5;4;1,8;35,3;27,3;22,4;88;73;3,9;
2007-02-06;5,7;9,8;26,2;35,7;28,6;23,3;76;69;5,3;
2007-02-07;10,3;10,8;1,1;35,9;29,2;25,5;74;61;5;
2007-02-08;9,1;10,3;0;36,5;29;23,5;70;56;5,3;
2007-02-09;12;5,4;0;36,3;29,6;26;70;64;4,3;
2007-02-10;9,5;11,3;0;37,1;29;22,8;69;50;7,2;
2007-02-11;9,7;10,4;7,2;35,4;28,4;24,6;77;67;2,3;
2007-02-12;6,9;7;0;34,9;28,6;25,6;78;68;4,1;
2007-02-13;5,6;6,9;0;35,1;28,6;25,3;77;69;2,5;
2007-02-14;7,1;1,2;15,1;30,3;24,9;22,9;94;82;,9;
2007-02-15;1,7;5,5;9,2;31,8;26,8;23,2;86;77;2,9;
2007-02-16;3,4;6,9;0;32,8;27,4;24,6;84;74;2,3;
2007-02-17;3,6;3,1;6,2;32,2;25,5;22,6;92;80;1,6;
2007-02-18;2,3;5,7;53,2;31,5;25,5;22;88;92;2,2;
2007-02-19;6,9;2,9;1;31,1;26,1;23,4;87;77;1,3;
2007-02-20;2,2;0;6,5;25,4;23,8;22,6;97;91;1,4;
2007-02-21;,7;8,2;7;32,1;25,6;23,1;89;75;1,4;
2007-02-22;3,3;8,7;3,2;32,6;25,6;22,3;89;76;3,6;
2007-02-23;null;4;11,3;30;26,2;23,4;86;75;2,2;
2007-02-24;null;7;8,7;32,2;25,6;23;94;89;2,5;
2007-02-25;null;11;3,8;32,3;27,3;23,6;86;77;2,6;
2007-02-26;null;10,8;2,8;33,3;27,8;24,3;81;74;4,7;
2007-02-27;null;11,2;0;32,4;27,3;22,7;77;72;5,3;
2007-02-28;null;10,9;0;32,6;26,2;23;84;73;3,6;
2007-03-01;null;8,4;5,8;30,9;26;23,7;89;79;3,5;
2007-03-02;null;9,8;0;31,3;27;23,7;80;74;4,1;
2007-03-03;null;10,5;0;32;26,6;23,6;84;73;5;
2007-03-04;null;10,7;0;32,1;26,1;23;85;68;5,3;
2007-03-05;null;11,1;,5;32,1;26,2;23,4;84;65;6,6;
2007-03-06;null;10,1;15,7;31,8;26,1;22;null;81;2,1;
2007-03-07;null;10,6;10,2;31,5;26,2;23,6;87;71;4,1;
2007-03-08;null;10,6;9,1;31,7;26,9;24;80;77;4,6;
2007-03-09;null;10,8;0;32,3;27,4;24,2;86;78;4,3;
2007-03-10;null;5,1;0;30,4;26;23,6;85;74;3,3;
2007-03-11;null;8,5;4,7;31,3;25,7;22,7;88;71;2,8;
2007-03-12;null;3,6;16,2;30,3;25,3;22,8;94;84;2,4;
2007-03-13;null;6;3,7;30,6;26,6;23,5;86;84;1,6;
2007-03-14;null;9,6;0;31,3;25,6;22,7;89;77;3,6;
2007-03-15;null;8,4;7,5;31,5;26,2;22,6;89;77;2,1;
2007-03-16;4,9;5,7;6,7;30,7;26,8;23,6;78;75;3,3;
2007-03-17;5,7;4,1;0;30,1;26,5;23,6;86;76;4,4;
2007-03-18;3,8;5,9;3,3;30,2;26,5;24,1;91;83;1,4;
2007-03-19;3,1;9,5;,1;31,6;26,7;24,1;96;77;5;
2007-03-20;4,5;8;1,3;31,6;27,2;24;83;73;4,3;
2007-03-21;5;10,6;0;31,9;26,8;24;86;74;5,2;
2007-03-22;6,2;9,6;28,3;31,6;26,8;24;84;77;5,3;
2007-03-23;6,4;10,5;0;32,4;27;24,1;84;69;3,3;
2007-03-24;7,4;11;0;32,6;27,2;24,1;null;68;3,9;
2007-03-25;7,2;10,6;1,4;32,4;27;24;85;73;4,2;
2007-03-26;6,9;10,8;0;32,7;27,4;23,2;81;71;5,1;
2007-03-27;7,6;5,2;0;31,5;26,8;23,9;83;69;4,3;
2007-03-28;5,1;8,1;,5;32,8;28,3;24,4;72;62;3,9;
2007-03-29;8,1;11;0;33,3;27,5;23,2;78;65;3,9;
2007-03-30;9,7;10,4;0;33,5;27,3;23,6;86;69;3,6;
2007-03-31;7;9,9;13,5;32,8;27,1;23,4;84;67;3,3;
2007-04-01;5,5;10,4;0;33,2;26,7;22,2;92;70;3,6;
2007-04-02;4,8;10,3;8,1;32,3;25,6;22,1;90;75;4,3;
2007-04-03;5,6;10,8;24,1;32,5;27;22,3;82;71;6,2;
2007-04-04;6,2;10,7;0;32,3;26,8;23,4;93;75;3,3;
2007-04-05;5,2;10,2;0;32,3;26,8;22,7;80;65;5,1;
2007-04-06;6,9;10,3;0;33,5;27,3;23,4;84;71;4,8;
2007-04-07;7,4;10,9;0;33,4;27,4;23,7;87;64;4,1;
2007-04-08;9,1;9;0;33,7;28,1;24,5;77;62;5,6;
2007-04-09;6,4;9,7;1,3;34,4;28,1;24,5;77;64;2,3;
2007-04-10;8,6;6,6;0;34,4;28,2;24,9;85;73;3,1;
2007-04-11;7,8;8,8;0;33,3;27;24;78;73;3,1;
2007-04-12;8;10,8;2,1;33,9;null;21,7;null;68;3;
2007-04-13;10,4;10,3;0;35,1;28,2;24,8;82;69;4,3;
2007-04-14;10,7;10,3;0;33,7;27,6;23,4;80;73;3,3;
2007-04-15;9;10;0;34,4;28,2;25;80;69;4;
2007-04-16;8,8;8,2;0;34,4;28,2;24,3;76;70;3,8;
2007-04-17;8,7;8,7;0;34,1;27,1;23,4;84;65;3,3;
2007-04-18;8;,4;,8;29,7;25;22,7;97;93;,8;
2007-04-19;3,1;10,1;29;31,8;25,8;22,7;92;79;2,1;
2007-04-20;4,2;9,6;16,4;31,7;26,5;22,9;93;82;3,1;
2007-04-21;4,3;4,8;15,6;31,5;null;24,6;null;83;5,1;
2007-04-22;4,1;7,1;5,1;31;26,6;23,7;71;88;1,8;
2007-04-23;2,4;8,8;0;31,9;27,3;24,6;90;79;5,6;
2007-04-24;4,3;6,1;0;31,4;26,2;23,7;91;86;4,3;
2007-04-25;3,3;6,3;11,3;31,7;25,1;22,8;97;94;,8;
2007-04-26;2,8;6,5;21,9;30;25,1;22,8;93;87;3,1;
2007-04-27;2,1;1,4;1,5;29,6;25,1;22,7;96;93;1,3;
2007-04-28;3,6;8,7;2,7;30,7;25,5;23,2;92;82;1,6;
2007-04-29;4;10,3;,5;31,3;26,8;23,2;89;83;3;
2007-04-30;4,9;1,9;6,1;29,4;26,2;23,6;92;85;3,5;
2007-05-01;3;4,1;0;30,1;25,8;24;92;81;2,6;
2007-05-02;2,8;2,6;6,5;29,7;26;23,4;91;93;1,3;
2007-05-03;3,3;10,9;2;30,1;26,1;23,4;86;78;4,1;
2007-05-04;4,4;9,5;0;30,4;26,1;23,3;93;83;3;
2007-05-05;6;7,5;0;30,3;null;23,7;null;77;6,5;
2007-05-06;6,2;2,8;0;30,6;26,3;23,5;91;91;3,8;
2007-05-07;8,5;7,5;1,6;31,6;26,3;22,9;87;84;4,4;
2007-05-08;5,8;9,1;0;31,6;27,2;23,4;83;77;3,8;
2007-05-09;6,3;10,3;0;31,6;26,3;22,7;85;73;4,6;
2007-05-10;6,7;10;0;32,7;26,7;22,5;86;75;3,5;
2007-05-11;7,5;10,5;0;32,4;27,6;23,6;78;73;3,4;
2007-05-12;8,3;10,8;0;32,6;26,6;23;86;73;4,5;
2007-05-13;7,3;10,6;0;33,4;27,1;23,6;82;69;3,8;
2007-05-14;8,5;10,6;0;33,3;26,6;23,2;85;71;3,8;
2007-05-15;10,1;10,7;0;33,3;27,1;22,9;85;76;3,3;
2007-05-16;8,8;10,7;0;33,2;27;23;85;66;4,1;
2007-05-17;9,1;10,2;0;33,7;27,2;22,6;82;71;3,8;
2007-05-18;11,1;10,6;0;34,3;27;22,4;82;66;3,5;
2007-05-19;10;9,9;0;33,9;27,1;22,8;83;66;3,8;
2007-05-20;10;10;0;33,9;27,6;24,4;82;68;3;
2007-05-21;10,2;5,6;0;33,4;27,3;23,8;81;70;3,6;
2007-05-22;null;4,5;0;31,8;null;25;null;86;1,5;
2007-05-23;null;8,9;2;33,5;27,5;24;85;75;4,1;
2007-05-24;8,8;7,7;1;34,2;26,1;22,6;90;77;3,2;
2007-05-25;4,3;9,4;56;34,2;27,2;22,6;86;88;3;
2007-05-26;5,4;10,8;0;32,2;26,4;22,7;90;78;3;
2007-05-27;6,5;8;5,7;32,4;26,6;23,3;90;89;1,6;
2007-05-28;5,7;10,7;0;32,3;26,4;22,7;88;84;3,6;
2007-05-29;5,4;10,7;,1;33,3;27;23,6;89;80;3,5;
2007-05-30;5,4;10,6;0;33,3;27;24;86;73;3,8;
